"package",'version",'option",'platform",'dependency",'package_provider",'compiled_with",'composite",'section",'spack_matches",'spack_match_100"
"cesm","{'1.2.2', '1.0.6'}",NONE,NONE,NONE,NONE,"{'intel-2015-update2'}",NONE,"applications","('c', 90), ('biopieces', 77), ('dataspaces', 77), ('nekcem', 77)",NONE
"cfd-ace","{'2014.1', '2018.0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ace', 90), ('c', 90), ('fd', 90), ('f3d', 68)",NONE
"chemshell","{'3.7.1'}","{'mpi', 'standalone'}",NONE,"{'gulp4.5'}",NONE,NONE,NONE,"applications","('es-shell', 71), ('ebms', 68), ('gmsh', 68), ('mash', 68)",NONE
"clustal-omega","{'1.2.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('clustal-omega', 100), ('omega-h', 86), ('clustalw', 79), ('ccls', 68)",clustal-omega
"clustal-w","{'2.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('clustalw', 94), ('clustal-omega', 84), ('ccls', 68), ('cups', 68)",NONE
"cmg","{'2017.101', '2018.101', '2019.101'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('mg', 90), ('comgr', 75), ('py-hpccm', 72)",NONE
"collectl","{'4.0.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('collectd', 88), ('pmgr-collective', 79), ('py-debtcollector', 79)",NONE
"compucell3d","{'3.7.4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('aomp', 68), ('camp', 68), ('colm', 68), ('comd', 68)",NONE
"comsol","{'56', '52', '6.0', '52a', '53a'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('c', 90), ('cool', 80), ('solr', 77), ('console-bridge', 75)",NONE
"cosi-corr","{'oct14'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('osi', 90), ('rr', 90), ('cmor', 68), ('cosign', 68)",NONE
"covid-19-spatial-sim","{'0.15.0', '0.9.0', '0.8.0', '0.13.0', '0.14.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2', 'intel-2020'}",NONE,"applications","('r-spatial', 86), ('sparta', 75), ('pasta', 72), ('spath', 72)",NONE
"cp2k","{'7.1', '6.1', '5.1', '4.1'}","{'plumed'}",NONE,"{'ompi'}",NONE,"{'gnu-4.9.2'}","{'ompi-plumed'}","applications","('cp2k', 100), ('c', 90), ('ck', 67), ('cosp2', 67)",cp2k
"cpmd","{'4.1'}",NONE,NONE,NONE,NONE,"{'intel-2017'}",NONE,"applications","('cpmd', 100), ('c', 90), ('py-s3cmd', 77), ('comd', 75)",cpmd
"crystal14","{'v1.0.4', 'v1.0.3', 'v1.0.4_2017'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('rust', 68), ('seal', 68), ('star', 68), ('stat', 68)",NONE
"crystal17","{'v1.0.1', 'v1.0.2'}",NONE,NONE,NONE,NONE,"{'intel-2017'}",NONE,"applications","('rust', 68), ('seal', 68), ('star', 68), ('stat', 68)",NONE
"cuba","{'4.2'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('cuba', 100), ('c', 90), ('r-cubature', 90), ('cub', 86)",cuba
"cufflinks","{'2.2.1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('cufflinks', 100), ('fl', 90), ('flink', 90), ('flint', 72)",cufflinks
"curl","{'7.86.0', '7.47.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('curl', 100), ('c', 90), ('py-pycurl', 90), ('r', 90)",curl
"dakota","{'6.12.0'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'6.12.0-bindist'}","applications","('dakota', 100), ('octa', 77), ('poppler-data', 72), ('py-guidata', 72)",dakota
"datamash","{'1.4'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('datamash', 100), ('mash', 90), ('shc', 72), ('damask', 71)",datamash
"deeptools","{'3.0.2'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('py-deeptools', 95), ('py-deeptoolsintervals', 90), ('rdptools', 82), ('pktools', 75)",NONE
"delly","{'0.7.8'}","{'bindist'}",NONE,NONE,NONE,NONE,"{'0.7.8-bindist'}","applications","('delly2', 91), ('damselfly', 72), ('jellyfish', 72), ('py-jellyfish', 72)",NONE
"dftbplus","{'d07f92e', '17.1', '19.1', '18.2', 'dev'}",NONE,NONE,NONE,NONE,"{'intel-2017', 'intel-2018'}",NONE,"applications","('dftbplus', 100), ('py-pydotplus', 72), ('ctpl', 68), ('lftp', 68)",dftbplus
"dl_monte","{'2.07'}",NONE,NONE,NONE,NONE,"{'intel-2018'}",NONE,"applications","('lemon', 72), ('lmod', 68), ('mono', 68), ('montage', 67)",NONE
"dl_poly","{'4.07', '5.0.0', '4.08', '4.09', '4.10.0', '1.9'}","{'plumed-2.3.1', 'classic'}",NONE,NONE,NONE,"{'intel-2017', 'intel-2015-update2', 'intel-2018'}","{'4.08-plumed-2.3.1'}","applications","('pocl', 68), ('delly2', 62), ('ntpoly', 62), ('clp', 60)",NONE
"dock","{'6.9'}","{'reference'}",NONE,"{'impi'}",NONE,"{'gnu-4.9.2', 'intel-2018'}","{'6.9-reference', '6.9-impi'}","applications","('dock', 100), ('autodock-gpu', 90), ('autodock-vina', 90), ('c', 90)",dock
"dos2unix","{'7.3'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('dos2unix', 100), ('nix', 90), ('dcm2niix', 62), ('cdo', 60)",dos2unix
"dssp","{'3.0.0'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('dssp', 100), ('ds', 90), ('sp', 90), ('speexdsp', 77)",dssp
"dymola","{'2020.1-1'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('lua', 72), ('jmol', 68), ('moab', 68), ('molcas', 67)",NONE
"ea-utils","{'822'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('ea-utils', 100), ('ima-evm-utils', 86), ('openspeedshop-utils', 86), ('perl-array-utils', 86)",ea-utils
"easylausanne","{'55c7bf0'}",NONE,NONE,NONE,NONE,NONE,NONE,"applications","('easi', 68), ('fann', 68), ('last', 68), ('spla', 68)",NONE
"eigensoft","{'6.1.1'}",NONE,NONE,NONE,NONE,"{'gnu-4.9.2'}",NONE,"applications","('eigen', 90), ('fmt', 72), ('ftk', 72), ('fxt', 72)",NONE
